"","cropID","sci_name","Agr_Ecol_Opt_Soildp_Medium","Agr_Ecol_Silt_Max","Agr_Ecol_Silt_Min","Agr_Ecol_Sand_Max","Agr_Ecol_Sand_Min","Agr_Ecol_Clay_Max","Agr_Ecol_Clay_Min","Agr_Ecol_Opt_Temp_Min","Agr_Ecol_Opt_Temp_Max","Agr_Ecol_Abs_Temp_Min","Agr_Ecol_Abs_Temp_Max","Agr_Ecol_Opt_Rain_Min","Agr_Ecol_Opt_Rain_Max","Agr_Ecol_Abst_Rain_Min","Agr_Ecol_Abs_Rain_Max","Ecocrop_Crop_Cycle_Min","Ecocrop_Crop_Cycle_Max"
"561","10001000068","Theobroma cacao","deep (>>150 cm)","60","0","65","0","100","35",21,32,10,38,1200,3000,900,7600,180,365
"582","10001000139","Vigna mungo","deep (>>150 cm)","100","0","70","0","40","0",22,35,8,40,650,900,530,2430,60,130
"585","10001000015","Vigna unguiculata","medium (50-150 cm)","100","0","80","0","100","0",25,35,15,40,500,1500,300,4100,30,240
"587","10001000052","Xanthosoma sagittifolium","medium (50-150 cm)","100","0","80","0","40","0",20,28,10,35,1000,2000,750,6000,120,365
"588","10001000070","Zea mays","medium (50-150 cm)","100","0","100","0","100","0",18,33,10,47,600,1200,400,1800,65,365
"590","10001000112","Amaranthus caudatus","medium (50-150 cm)","100","0","100","0","100","0",21,28,7,40,800,2300,250,4200,30,300
"592","10001000004","Amaranthus lividus","medium (50-150 cm)","100","0","100","0","100","0",21,27,18,32,1200,1500,200,2700,30,300
"599","10001000023","Arachis hypogaea","medium (50-150 cm)","100","0","80","0","40","0",22,32,10,45,600,1500,400,4000,90,150
"610","10001000129","Syzygium javanicum","medium (50-150 cm)","100","0","80","0","100","0",23,28,16,33,1500,2300,1200,3000,270,365
"618","10001000095","Lansium domesticum","deep (>>150 cm)","50","0","70","50","20","0",20,35,12,40,1400,2200,1000,3000,240,330
"623","10001000030","Moringa oleifera","deep (>>150 cm)","100","0","100","0","40","0",20,35,7,48,700,2200,400,2600,210,330
"648","10001000031","Tropaeolum tuberosum","medium (50-150 cm)","100","0","100","0","100","0",12,20,4,24,1000,1200,700,1600,180,240
"657","10001000016","Cicer arietinum","medium (50-150 cm)","52","0","70","20","40","0",15,29,7,35,600,1000,300,1800,90,180
"658","10001000053","Musa sp.","deep (>>150 cm)","100","0","80","0","40","0",22,32,13,38,2400,2700,2000,3500,0,0
"665","10001000040","Chenopodium quinoa","medium (50-150 cm)","50","0","100","50","20","0",14,18,2,35,500,1000,250,2600,90,240
"810","10001000034","Abelmoschus esculentus","shallow (20-50 cm)","52","0","70","20","40","0",20,30,12,35,600,1200,300,2500,50,180
