",",cropID,",",name,",",sci_name,",",Agr_Ecol_Opt_Soildp_Medium,",",Agr_Ecol_Silt_Max,",",Agr_Ecol_Silt_Min,",",Agr_Ecol_Sand_Max,",",Agr_Ecol_Sand_Min,",",Agr_Ecol_Clay_Max,",",Agr_Ecol_Clay_Min,",",Agr_Ecol_Opt_Temp_Min,",",Agr_Ecol_Opt_Temp_Max,",",Agr_Ecol_Abs_Temp_Min,",",Agr_Ecol_Abs_Temp_Max,",",Agr_Ecol_Opt_Rain_Min,",",Agr_Ecol_Opt_Rain_Max,",",Agr_Ecol_Abst_Rain_Min,",",Agr_Ecol_Abs_Rain_Max,",",Ecocrop_Crop_Cycle_Min,",",Ecocrop_Crop_Cycle_Max
"1251,",10001000090,",",Jackfruit,",",Artocarpus heterophyllus,",",deep (>>150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",20,30,16,34,1500,3000,700,4200,210,365",,,,,,,,,,,,,,,,,,,
"618,",10001000095,",",Lansons,",",Lansium domesticum,",",deep (>>150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",20,35,12,40,1400,2200,1000,3000,240,330",,,,,,,,,,,,,,,,,,,
"2066,",10001000096,",",Lemongrass,",",Cymbopogon citratus,",",medium (50-150 cm),",",52,",",0,",",100,",",20,",",40,",",0,",24,30,18,34,1500,3000,700,4200,120,365",,,,,,,,,,,,,,,,,,,
"1252,",10001000098,",",Calamondin,",",Citrofortunella x microcarpa,",",deep (>>150 cm),",",52,",",0,",",100,",",20,",",40,",",0,",15,28,8,38,1500,2000,1200,2500,300,365",,,,,,,,,,,,,,,,,,,
"166,",10001000099,",",Long Beans,",",Vigna unguiculata ssp. sesquipedalis,",",medium (50-150 cm),",",100,",",0,",",80,",",0,",",100,",",0,",20,35,14,38,1500,2000,650,4100,50,150",,,,,,,,,,,,,,,,,,,
"364,",10001000100,",",Indian Mulberry,",",Morinda citrifolia,",",deep (>>150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",24,30,12,36,1500,3000,700,4200,365,365",,,,,,,,,,,,,,,,,,,
"345,",10001000101,",",Mango,",",Mangifera indica,",",deep (>>150 cm),",",50,",",28,",",52,",",23,",",27,",",7,",24,30,8,48,600,1500,300,2600,150,365",,,,,,,,,,,,,,,,,,,
"206,",10001000102,",",Mangosteen,",",Garcinia mangostana,",",deep (>>150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",20,30,15,40,1600,2000,1100,2800,365,365",,,,,,,,,,,,,,,,,,,
"2317,",10001000103,",",Oil Palm,",",Elaeis guineensis,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",100,",",0,",20,35,12,38,1500,3000,1000,8000,300,365",,,,,,,,,,,,,,,,,,,
"384,",10001000105,",",Paddy,",",Oryza sativa,",",medium (50-150 cm),",",60,",",0,",",65,",",0,",",100,",",35,",20,30,10,36,1500,2000,1000,4000,80,180",,,,,,,,,,,,,,,,,,,
"1671,",10001000106,",",Papaya,",",Carica papaya,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",21,30,12,44,1500,2500,1000,3000,330,365",,,,,,,,,,,,,,,,,,,
"324,",10001000108,",",Petola Segi,",",Luffa acutangula,",",medium (50-150 cm),",",50,",",0,",",100,",",23,",",27,",",0,",20,32,15,38,1200,2000,700,3000,40,150",,,,,,,,,,,,,,,,,,,
"1103,",10001000109,",",Pineapple,",",Ananas comosus,",",medium (50-150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",21,30,10,36,800,2500,550,3500,330,365",,,,,,,,,,,,,,,,,,,
